quote_date,shop_code,item_id_raw,region,price,indicator_box,item_id,description,region_name
2008-10-01,355.0,640406,9.0,40.0,,640406,HOTEL 1 NIGHT PRICE,North West
2009-02-01,510.0,640406,7.0,65.0,,640406,HOTEL 1 NIGHT PRICE,West Midlands
2008-04-01,357.0,640406,5.0,45.0,,640406,HOTEL 1 NIGHT PRICE,East Anglia
2019-08-01,374.0,640406,4.0,75.0,,640406,HOTEL 1 NIGHT PRICE,South West
2023-03-01,18024.0,640406,5.0,116.0,,640406,HOTEL 1 NIGHT PRICE,East Anglia
2006-12-01,464.0,640406,5.0,45.0,,640406,HOTEL 1 NIGHT PRICE,East Anglia
2013-03-01,5106.0,640406,13.0,60.0,,640406,HOTEL 1 NIGHT PRICE,Northern Ireland
2016-02-01,357.0,640406,5.0,69.989998,,640406,HOTEL 1 NIGHT PRICE,East Anglia
2018-02-01,167.0,640406,10.0,65.5,,640406,HOTEL 1 NIGHT PRICE,North
2007-05-01,502.0,640406,7.0,44.900002,,640406,HOTEL 1 NIGHT PRICE,West Midlands
2007-03-01,326.0,640406,4.0,58.0,,640406,HOTEL 1 NIGHT PRICE,South West
2015-10-01,296.0,640406,5.0,35.0,,640406,HOTEL 1 NIGHT PRICE,East Anglia
2011-10-01,510.0,640406,7.0,77.0,,640406,HOTEL 1 NIGHT PRICE,West Midlands
2018-04-01,5118.0,640406,3.0,107.5,,640406,HOTEL 1 NIGHT PRICE,South East
2020-02-01,674.0,640406,3.0,44.0,,640406,HOTEL 1 NIGHT PRICE,South East
2015-01-01,733.0,640406,3.0,109.0,,640406,HOTEL 1 NIGHT PRICE,South East
2019-09-01,5084.0,640406,3.0,168.5,,640406,HOTEL 1 NIGHT PRICE,South East
2016-10-01,255.0,640406,6.0,94.0,,640406,HOTEL 1 NIGHT PRICE,East Midlands
2013-12-01,335.0,640406,12.0,37.5,,640406,HOTEL 1 NIGHT PRICE,Scotland
2021-10-01,400.0,640406,7.0,197.0,,640406,HOTEL 1 NIGHT PRICE,West Midlands
2017-05-01,5245.0,640406,2.0,65.0,,640406,HOTEL 1 NIGHT PRICE,London
2014-03-01,243.0,640406,6.0,65.0,,640406,HOTEL 1 NIGHT PRICE,East Midlands
2005-02-01,514.0,640406,2.0,69.0,,640406,HOTEL 1 NIGHT PRICE,London
2008-02-01,412.0,640406,5.0,49.950001,Q,640406,HOTEL 1 NIGHT PRICE,East Anglia
2015-07-01,211.0,640406,8.0,40.0,,640406,HOTEL 1 NIGHT PRICE,Yorkshire & Humber
2006-06-01,516.0,640406,2.0,50.0,,640406,HOTEL 1 NIGHT PRICE,London
2016-05-01,519.0,640406,2.0,65.0,,640406,HOTEL 1 NIGHT PRICE,London
2007-12-01,528.0,640406,2.0,235.0,,640406,HOTEL 1 NIGHT PRICE,London
2009-10-01,267.0,640406,11.0,22.0,,640406,HOTEL 1 NIGHT PRICE,Wales
2021-07-01,412.0,640406,5.0,67.0,,640406,HOTEL 1 NIGHT PRICE,East Anglia
2016-12-01,5046.0,640406,3.0,113.0,,640406,HOTEL 1 NIGHT PRICE,South East
2015-10-01,5297.0,640406,2.0,55.009998,,640406,HOTEL 1 NIGHT PRICE,London
