Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
495,Jaden Hardy,22,DAL,SG,26,3,380,8.3,.519,.468,.201,1.2,9.1,5.3,11.4,1.9,0.7,17.7,22.9,-0.5,0.3,-0.1,-0.019,-4.7,-1.4,-6.1,-0.4,,hardyja02
496,Bennedict Mathurin,22,IND,SG,34,29,1124,13.2,.583,.318,.378,4.5,16.5,10.6,7.9,1.0,1.1,12.8,21.7,0.7,0.5,1.2,.052,-1.5,-2.0,-3.4,-0.4,,mathube01
497,Jamal Shead,22,TOR,PG,30,0,477,7.9,.485,.427,.100,1.4,6.7,4.0,28.4,1.8,0.8,21.9,17.4,-0.3,0.1,-0.2,-0.022,-4.2,-1.5,-5.7,-0.4,,sheadja01
498,Keyonte George,21,UTA,PG,27,27,855,11.6,.531,.564,.230,1.6,9.7,5.7,27.9,1.1,0.5,18.0,24.1,0.0,-0.1,-0.1,-0.007,-0.8,-3.2,-4.1,-0.4,,georgke01
499,Jalen Wilson,24,BRK,PF,32,7,847,8.8,.532,.556,.250,4.1,10.8,7.4,10.1,0.9,0.1,10.1,16.0,0.4,0.2,0.6,.033,-2.6,-1.5,-4.1,-0.5,,wilsoja03
500,Cody Williams,20,UTA,SG,19,8,364,3.6,.403,.545,.182,3.1,10.2,6.7,8.0,0.9,1.5,15.3,11.3,-0.4,0.0,-0.4,-0.055,-5.6,-1.3,-7.0,-0.5,,willico04
501,Andre Jackson Jr.,23,MIL,SG,30,22,547,5.9,.488,.481,.123,5.5,13.0,9.4,10.3,1.7,1.2,23.9,11.8,-0.4,0.6,0.2,.018,-5.6,0.2,-5.4,-0.5,,jacksan01
502,Vasilije Micić,31,CHO,PG,21,10,462,7.6,.451,.471,.116,3.4,9.2,6.2,25.8,1.4,0.0,19.6,20.6,-0.6,0.2,-0.4,-0.039,-3.9,-2.2,-6.1,-0.5,,micicva01
503,Keegan Murray,24,SAC,PF,32,32,1137,10.1,.508,.501,.112,6.8,16.5,11.7,5.3,1.0,2.2,7.8,15.0,0.4,0.9,1.4,.058,-2.3,-1.4,-3.7,-0.5,,murrake02
504,Josh Green,24,CHO,SG,30,29,862,7.4,.549,.563,.168,3.9,6.2,5.0,7.6,1.6,1.3,13.2,11.5,0.3,0.5,0.8,.042,-4.2,-0.2,-4.4,-0.5,,greenjo02
505,Kyshawn George,21,WAS,SG,26,6,667,6.9,.448,.662,.162,2.8,13.4,8.1,11.8,1.3,2.4,11.3,14.9,-0.5,0.2,-0.3,-0.022,-4.5,-0.9,-5.5,-0.6,,georgky01
506,Gabe Vincent,28,LAL,PG,31,5,586,5.2,.484,.657,.060,1.9,5.9,3.9,6.5,2.0,0.8,12.1,11.7,-0.4,0.3,-0.1,-0.007,-5.7,-0.3,-6.0,-0.6,,vincega01
507,Stephon Castle,20,SAS,PG,32,17,802,10.1,.484,.373,.320,2.7,8.0,5.4,21.2,1.6,1.2,14.2,22.7,-0.5,0.6,0.1,.005,-3.7,-1.3,-5.0,-0.6,,castlst01
508,Keon Johnson,22,BRK,SG,31,12,614,7.0,.461,.599,.099,3.6,15.1,9.2,9.0,1.8,1.7,12.2,20.7,-1.0,0.4,-0.6,-0.043,-4.9,-1.0,-5.9,-0.6,,johnske07
509,Davion Mitchell,26,TOR,PG,31,14,795,7.4,.504,.492,.178,1.9,7.0,4.4,24.1,1.4,0.8,22.8,13.5,-0.1,0.1,0.0,.000,-4.1,-0.9,-5.1,-0.6,,mitchda01
510,Zaccharie Risacher,19,ATL,SF,34,32,812,10.0,.494,.435,.224,5.7,9.5,7.6,7.2,1.5,2.4,9.9,20.7,-0.3,0.5,0.2,.010,-3.5,-1.7,-5.2,-0.6,,risacza01
511,Carlton Carrington,19,WAS,PG,31,22,923,8.2,.519,.527,.105,1.1,13.9,7.5,18.3,1.3,0.8,17.2,14.7,-0.3,0.2,-0.1,-0.003,-4.0,-0.8,-4.8,-0.7,,carrica01
512,Isaiah Collier,20,UTA,PG,24,2,415,2.5,.361,.400,.211,1.1,12.7,6.9,26.2,2.2,0.9,35.0,16.2,-1.3,0.1,-1.2,-0.139,-8.5,-1.5,-10.0,-0.8,,colliis01
