series,date,share,label
Japanese Yen,2008-07-01,0.03530704248418982,Other
Pounds Sterling,2008-07-01,0.04731213318540559,Other
Australian Dollars,2008-07-01,,Other
Canadian Dollars,2008-07-01,,Other
Swiss Francs,2008-07-01,0.0014820050652100925,Other
U.S. Dollars,2008-10-01,0.6376522114270712,US Dollar
Euro,2008-10-01,0.2621457899311347,Other
Chinese Renminbi,2008-10-01,,Chinese Renminbi
Japanese Yen,2008-10-01,0.03467494577152559,Other
Pounds Sterling,2008-10-01,0.042176683816066846,Other
Australian Dollars,2008-10-01,,Other
Canadian Dollars,2008-10-01,,Other
Swiss Francs,2008-10-01,0.0013776666363518016,Other
U.S. Dollars,2009-01-01,0.6517905531763866,US Dollar
Euro,2009-01-01,0.2581861809470292,Other
Chinese Renminbi,2009-01-01,,Chinese Renminbi
Japanese Yen,2009-01-01,0.027874967458771535,Other
Pounds Sterling,2009-01-01,0.0395475392972112,Other
Australian Dollars,2009-01-01,,Other
Canadian Dollars,2009-01-01,,Other
Swiss Francs,2009-01-01,0.0013838214880706327,Other
U.S. Dollars,2009-04-01,0.6280572424938281,US Dollar
Euro,2009-04-01,0.2757079196265567,Other
Chinese Renminbi,2009-04-01,,Chinese Renminbi
Japanese Yen,2009-04-01,0.03016488358204256,Other
Pounds Sterling,2009-04-01,0.04282234956805815,Other
Australian Dollars,2009-04-01,,Other
Canadian Dollars,2009-04-01,,Other
Swiss Francs,2009-04-01,0.0012281663323750881,Other
U.S. Dollars,2009-07-01,0.6156527591587303,US Dollar
Euro,2009-07-01,0.28031258488304434,Other
Chinese Renminbi,2009-07-01,,Chinese Renminbi
Japanese Yen,2009-07-01,0.03158866316027645,Other
Pounds Sterling,2009-07-01,0.04313649713472338,Other
Australian Dollars,2009-07-01,,Other
Canadian Dollars,2009-07-01,,Other
Swiss Francs,2009-07-01,0.001191376751940517,Other
U.S. Dollars,2009-10-01,0.6215424763382346,US Dollar
Euro,2009-10-01,0.27704781742246487,Other
Chinese Renminbi,2009-10-01,,Chinese Renminbi
Japanese Yen,2009-10-01,0.029023838995908192,Other
Pounds Sterling,2009-10-01,0.04253075441945095,Other
Australian Dollars,2009-10-01,,Other
Canadian Dollars,2009-10-01,,Other
Swiss Francs,2009-10-01,0.001156603823344079,Other
U.S. Dollars,2010-01-01,0.6217602257863761,US Dollar
Euro,2010-01-01,0.2706211983494505,Other
Chinese Renminbi,2010-01-01,,Chinese Renminbi
Japanese Yen,2010-01-01,0.029878161912444367,Other
Pounds Sterling,2010-01-01,0.043006525554657206,Other
Australian Dollars,2010-01-01,,Other
Canadian Dollars,2010-01-01,,Other
Swiss Francs,2010-01-01,0.0011889016407401367,Other
U.S. Dollars,2010-04-01,0.6293722332410121,US Dollar
Euro,2010-04-01,0.2601535156693582,Other
Chinese Renminbi,2010-04-01,,Chinese Renminbi
Japanese Yen,2010-04-01,0.031935174510468116,Other
Pounds Sterling,2010-04-01,0.041733075125150974,Other
Australian Dollars,2010-04-01,,Other
Canadian Dollars,2010-04-01,,Other
Swiss Francs,2010-04-01,0.0011043532392975258,Other
U.S. Dollars,2010-07-01,0.6195971875067529,US Dollar
Euro,2010-07-01,0.2639014431715842,Other
Chinese Renminbi,2010-07-01,,Chinese Renminbi
Japanese Yen,2010-07-01,0.03496696404398225,Other
Pounds Sterling,2010-07-01,0.0405828358840662,Other
Australian Dollars,2010-07-01,,Other
Canadian Dollars,2010-07-01,,Other
Swiss Francs,2010-07-01,0.001020389624179524,Other
U.S. Dollars,2010-10-01,0.6224716201212118,US Dollar
Euro,2010-10-01,0.2576205001365163,Other
Chinese Renminbi,2010-10-01,,Chinese Renminbi
Japanese Yen,2010-10-01,0.036631458362955276,Other
Pounds Sterling,2010-10-01,0.03941708641851112,Other
Australian Dollars,2010-10-01,,Other
Canadian Dollars,2010-10-01,,Other
Swiss Francs,2010-10-01,0.0012859275598889547,Other
U.S. Dollars,2011-01-01,0.614300882890038,US Dollar
Euro,2011-01-01,0.26198522827601295,Other
Chinese Renminbi,2011-01-01,,Chinese Renminbi
Japanese Yen,2011-01-01,0.036253934366766855,Other
Pounds Sterling,2011-01-01,0.04077357183596474,Other
Australian Dollars,2011-01-01,,Other
Canadian Dollars,2011-01-01,,Other
Swiss Francs,2011-01-01,0.0011820098950497892,Other
U.S. Dollars,2011-04-01,0.6088849358898604,US Dollar
Euro,2011-04-01,0.26492564876962893,Other
Chinese Renminbi,2011-04-01,,Chinese Renminbi
Japanese Yen,2011-04-01,0.03728201144199908,Other
Pounds Sterling,2011-04-01,0.040633411277795295,Other
Australian Dollars,2011-04-01,,Other
Canadian Dollars,2011-04-01,,Other
Swiss Francs,2011-04-01,0.0011726098554964495,Other
U.S. Dollars,2011-07-01,0.6202950080634199,US Dollar
Euro,2011-07-01,0.25350751247701897,Other
Chinese Renminbi,2011-07-01,,Chinese Renminbi
Japanese Yen,2011-07-01,0.036953273705348455,Other
Pounds Sterling,2011-07-01,0.03907557986998819,Other
Australian Dollars,2011-07-01,,Other
Canadian Dollars,2011-07-01,,Other
Swiss Francs,2011-07-01,0.0030448880298692004,Other
U.S. Dollars,2011-10-01,0.6269890639534812,US Dollar
Euro,2011-10-01,0.2444960720789066,Other
Chinese Renminbi,2011-10-01,,Chinese Renminbi
Japanese Yen,2011-10-01,0.036135298394262,Other
Pounds Sterling,2011-10-01,0.038378429817411436,Other
Australian Dollars,2011-10-01,,Other
Canadian Dollars,2011-10-01,,Other
Swiss Francs,2011-10-01,0.0007721506007031448,Other
U.S. Dollars,2012-01-01,0.6185504362492866,US Dollar
Euro,2012-01-01,0.24609491650727158,Other
Chinese Renminbi,2012-01-01,,Chinese Renminbi
Japanese Yen,2012-01-01,0.038556449870328184,Other
Pounds Sterling,2012-01-01,0.04021864183185224,Other
Australian Dollars,2012-01-01,,Other
Canadian Dollars,2012-01-01,,Other
Swiss Francs,2012-01-01,0.0024456146479154353,Other
U.S. Dollars,2012-04-01,0.6176663270926237,US Dollar
Euro,2012-04-01,0.2480187842706839,Other
Chinese Renminbi,2012-04-01,,Chinese Renminbi
Japanese Yen,2012-04-01,0.03954676630355487,Other
Pounds Sterling,2012-04-01,0.03844110675898376,Other
Australian Dollars,2012-04-01,,Other
Canadian Dollars,2012-04-01,,Other
Swiss Francs,2012-04-01,0.002344616365919517,Other
U.S. Dollars,2012-07-01,0.6140956322961456,US Dollar
Euro,2012-07-01,0.2404161244456243,Other
Chinese Renminbi,2012-07-01,,Chinese Renminbi
Japanese Yen,2012-07-01,0.04271089243518152,Other
Pounds Sterling,2012-07-01,0.04120989121747496,Other
Australian Dollars,2012-07-01,,Other
Canadian Dollars,2012-07-01,,Other
Swiss Francs,2012-07-01,0.002960098190637346,Other
U.S. Dollars,2012-10-01,0.6149718584717901,US Dollar
Euro,2012-10-01,0.24072334677720225,Other
Chinese Renminbi,2012-10-01,,Chinese Renminbi
Japanese Yen,2012-10-01,0.04089078432621604,Other
Pounds Sterling,2012-10-01,0.040422638259844275,Other
Australian Dollars,2012-10-01,0.014562483689683901,Other
Canadian Dollars,2012-10-01,0.014257429320379086,Other
Swiss Francs,2012-10-01,0.0021270559249588024,Other
U.S. Dollars,2013-01-01,0.6203263646000066,US Dollar
Euro,2013-01-01,0.23404958111252727,Other
Chinese Renminbi,2013-01-01,,Chinese Renminbi
Japanese Yen,2013-01-01,0.038840550577212994,Other
Pounds Sterling,2013-01-01,0.0387260304726577,Other
Australian Dollars,2013-01-01,0.01662262014459642,Other
Canadian Dollars,2013-01-01,0.01579196085364534,Other
Swiss Francs,2013-01-01,0.0026033563431197854,Other
U.S. Dollars,2013-04-01,0.6207643267242127,US Dollar
Euro,2013-04-01,0.2368348587746891,Other
Chinese Renminbi,2013-04-01,,Chinese Renminbi
Japanese Yen,2013-04-01,0.03845028231204485,Other
Pounds Sterling,2013-04-01,0.038192696737232454,Other
Australian Dollars,2013-04-01,0.016885357439396332,Other
Canadian Dollars,2013-04-01,0.017961195834997015,Other
Swiss Francs,2013-04-01,0.002578649420191943,Other
U.S. Dollars,2013-07-01,0.6165050579690619,US Dollar
Euro,2013-07-01,0.23949593223090226,Other
Chinese Renminbi,2013-07-01,,Chinese Renminbi
Japanese Yen,2013-07-01,0.03801095532880477,Other
Pounds Sterling,2013-07-01,0.03924717968670538,Other
Australian Dollars,2013-07-01,0.016823207139195027,Other
Canadian Dollars,2013-07-01,0.018352167944415243,Other
Swiss Francs,2013-07-01,0.002631674479480131,Other
U.S. Dollars,2013-10-01,0.6127682644535911,US Dollar
Euro,2013-10-01,0.24214165229134094,Other
Chinese Renminbi,2013-10-01,,Chinese Renminbi
Japanese Yen,2013-10-01,0.038240182634288584,Other
Pounds Sterling,2013-10-01,0.03986656451092579,Other
Australian Dollars,2013-10-01,0.01816281654999844,Other
Canadian Dollars,2013-10-01,0.01828627394337486,Other
Swiss Francs,2013-10-01,0.0026844895826606263,Other
U.S. Dollars,2014-01-01,0.6303687820664644,US Dollar
Euro,2014-01-01,0.2326719124363126,Other
Chinese Renminbi,2014-01-01,,Chinese Renminbi
Japanese Yen,2014-01-01,0.03581708713397333,Other
Pounds Sterling,2014-01-01,0.037761500236654734,Other
Australian Dollars,2014-01-01,0.0170405592140835,Other
Canadian Dollars,2014-01-01,0.017403176444195867,Other
Swiss Francs,2014-01-01,0.002376910397815969,Other
U.S. Dollars,2014-04-01,0.6308185427526353,US Dollar
Euro,2014-04-01,0.22969184040695279,Other
Chinese Renminbi,2014-04-01,,Chinese Renminbi
Japanese Yen,2014-04-01,0.036621536215946285,Other
Pounds Sterling,2014-04-01,0.03777355355780669,Other
Australian Dollars,2014-04-01,0.017243672475510795,Other
Canadian Dollars,2014-04-01,0.01844461081302604,Other
Swiss Francs,2014-04-01,0.0024175194852262866,Other
U.S. Dollars,2014-07-01,0.6462356136283374,US Dollar
Euro,2014-07-01,0.21577080398948226,Other
Chinese Renminbi,2014-07-01,,Chinese Renminbi
Japanese Yen,2014-07-01,0.03569968896931162,Other
Pounds Sterling,2014-07-01,0.037484214232079725,Other
Australian Dollars,2014-07-01,0.016809140178338233,Other
Canadian Dollars,2014-07-01,0.017929675494753026,Other
Swiss Francs,2014-07-01,0.0022997349887938457,Other
U.S. Dollars,2014-10-01,0.6517277236671991,US Dollar
Euro,2014-10-01,0.21213634336195836,Other
Chinese Renminbi,2014-10-01,,Chinese Renminbi
Japanese Yen,2014-10-01,0.035454360218549176,Other
Pounds Sterling,2014-10-01,0.03701893568467437,Other
Australian Dollars,2014-10-01,0.01595800292336773,Other
Canadian Dollars,2014-10-01,0.0175062371934689,Other
Swiss Francs,2014-10-01,0.0023997240354752965,Other
