player,id,VORP,best,category,surname
Tristan Thompson,CLE,-0.1,0,other,Thompson
Matt Ryan,NYK,-0.1,0,other,Ryan
Ryan Dunn,PHO,-0.1,0,other,Dunn
Daniel Theis,NOP,-0.1,0,other,Theis
Ben Sheppard,IND,-0.1,0,other,Sheppard
Hunter Tyson,DEN,-0.2,0,other,Tyson
Blake Wesley,SAS,-0.2,0,other,Wesley
Vit Krejci,ATL,-0.2,0,other,Krejci
Zeke Nnaji,DEN,-0.2,0,other,Nnaji
Malaki Branham,SAS,-0.2,0,other,Branham
Simone Fontecchio,DET,-0.2,0,other,Fontecchio
Jett Howard,ORL,-0.2,0,other,Howard
Enrique Freeman,IND,-0.2,0,other,Freeman
Toumani Camara,POR,-0.2,0,other,Camara
Jaylen Nowell,NOP,-0.2,0,other,Nowell
Xavier Tillman Sr.,BOS,-0.2,0,other,Tillman
Terry Rozier,MIA,-0.2,0,other,Rozier
Yves Missi,NOP,-0.2,0,other,Missi
Jabari Walker,POR,-0.2,0,other,Walker
Dario Šarić,DEN,-0.2,0,other,Šarić
Trey Jemison,NOP,-0.2,0,other,Jemison
Josh Richardson,MIA,-0.2,0,other,Richardson
Andre Drummond,PHI,-0.2,0,other,Drummond
Julian Strawther,DEN,-0.2,0,other,Strawther
Julian Phillips,CHI,-0.2,0,other,Phillips
Gary Trent Jr.,MIL,-0.2,0,other,Trent
Jusuf Nurkić,PHO,-0.2,0,other,Nurkić
Dillon Jones,OKC,-0.2,0,other,Jones
Herbert Jones,NOP,-0.2,0,other,Jones
Dejounte Murray,NOP,-0.2,0,other,Murray
Ziaire Williams,BRK,-0.2,0,other,Williams
Dalen Terry,CHI,-0.3,0,other,Terry
Tim Hardaway Jr.,DET,-0.3,0,other,Hardaway
Maxi Kleber,DAL,-0.3,0,other,Kleber
Ja'Kobe Walter,TOR,-0.3,0,other,Walter
Kevin Porter Jr.,LAC,-0.3,0,other,Porter
Ron Holland,DET,-0.3,0,other,Holland
Tidjane Salaün,CHO,-0.3,0,other,Salaün
Matas Buzelis,CHI,-0.4,0,other,Buzelis
Kyle Kuzma,WAS,-0.4,0,other,Kuzma
Scoot Henderson,POR,-0.4,0,other,Henderson
Jordan Hawkins,NOP,-0.4,0,other,Hawkins
Corey Kispert,WAS,-0.4,0,other,Kispert
Jaden Hardy,DAL,-0.4,0,other,Hardy
Bennedict Mathurin,IND,-0.4,0,other,Mathurin
Jamal Shead,TOR,-0.4,0,other,Shead
Keyonte George,UTA,-0.4,0,other,George
Jalen Wilson,BRK,-0.5,0,other,Wilson
