,location_name,id,year,val,upper,lower
41577,West Virginia,54,2012,75.3538917718475,75.651871799556,75.052284115312
41633,Wisconsin,55,2012,79.6150203355444,79.8164667250365,79.4000821648543
41706,Wyoming,56,2012,78.4857168246347,78.8964323265129,78.0702113684664
41731,Alabama,1,2013,75.3391294346668,75.5278612873781,75.1499853140394
41799,Alaska,2,2013,78.4464777373059,78.8079325956276,78.0934846155013
41838,Arizona,4,2013,79.5993494989088,79.7865826556623,79.4039741355413
41854,Arkansas,5,2013,75.9046991954066,76.153148714411,75.6339508867501
41930,California,6,2013,80.855013362736,80.9447408140978,80.7727503091818
41989,Colorado,8,2013,80.2343425166664,80.4529838849846,80.0074980599896
42054,Connecticut,9,2013,80.9840365709473,81.2601082654176,80.7202014585001
42063,Delaware,10,2013,78.822775040477,79.1434407499689,78.4847251831753
42067,District of Columbia,11,2013,77.5044895794141,77.9505883624578,77.0800044997928
42069,Florida,12,2013,79.7055167818028,79.8260946810157,79.5917055509441
42138,Georgia,13,2013,77.5411039585118,77.6940893418578,77.381827609771
42298,Hawaii,15,2013,81.2158183032737,81.5632493531042,80.8570728831919
42304,Idaho,16,2013,79.2599099181499,79.5698919565122,78.9444718050624
42349,Illinois,17,2013,79.2398902719197,79.3684542940387,79.0973325578895
42452,Indiana,18,2013,77.2165049277174,77.388225205901,77.0323330504817
42545,Iowa,19,2013,79.4389429860787,79.6929813414821,79.1895165433159
42645,Kansas,20,2013,78.6121311583492,78.9036805739095,78.3513682984647
42751,Kentucky,21,2013,76.0747315844408,76.288342578527,75.8616841421017
42872,Louisiana,22,2013,75.4516237576033,75.6625541379514,75.241813038997
42937,Maine,23,2013,78.9696678573002,79.3141536683521,78.634172025738
42954,Maryland,24,2013,79.2558919770407,79.4648566423956,79.0518523661717
42979,Massachusetts,25,2013,80.504679700719,80.7022170663972,80.3105706543011
42994,Michigan,26,2013,78.0407755715382,78.2004133405098,77.8785913157169
43078,Minnesota,27,2013,80.7197344966632,80.9362718651263,80.5091881087533
43166,Mississippi,28,2013,74.6591403544005,74.8999468411908,74.4110704029156
43249,Missouri,29,2013,77.6196240320203,77.8090954537739,77.4112672533505
43365,Montana,30,2013,78.3727961351623,78.7464526420976,77.9990926844261
43423,Nebraska,31,2013,79.5581728536029,79.8661157981349,79.2687974802252
43517,Nevada,32,2013,78.2979239061985,78.5562498551541,78.0483447497465
43535,New Hampshire,33,2013,80.1419069562584,80.4960878943869,79.8155583837058
43546,New Jersey,34,2013,80.2509179435626,80.422716139339,80.0619719803851
43568,New Mexico,35,2013,78.5483758455735,78.8481889091422,78.2345309618709
43602,New York,36,2013,80.6524581747226,80.7728969252687,80.5245696860268
43665,North Carolina,37,2013,78.1011880148344,78.2515386132281,77.9475209910356
43766,North Dakota,38,2013,79.3366768417324,79.7210091966404,78.9825869943014
43820,Ohio,39,2013,77.5672853485568,77.7059909543366,77.4296260120031
43909,Oklahoma,40,2013,75.6285428143534,75.8513410790879,75.39660256407
43987,Oregon,41,2013,79.4744774458108,79.7187402089118,79.2386533658954
44024,Pennsylvania,42,2013,78.5592523695418,78.6958492240418,78.4138477837978
44092,Rhode Island,44,2013,79.6190245696186,80.0103531819377,79.2428353078973
44098,South Carolina,45,2013,76.9089422654464,77.1081774992181,76.7001212707319
44145,South Dakota,46,2013,79.315690939657,79.6510498343109,78.9266450333681
44214,Tennessee,47,2013,76.2524614541748,76.4247779685848,76.0681286569748
44310,Texas,48,2013,78.4644618912813,78.5492785517209,78.3603747791072
44565,Utah,49,2013,79.539759694438,79.7849563565651,79.2892801310467
44595,Vermont,50,2013,79.90055973203,80.3198186047807,79.5128299437284
44610,Virginia,51,2013,79.249277926913,79.4117002383773,79.0702091718022
44747,Washington,53,2013,80.1231410860689,80.3122498347673,79.9216853851977
44787,West Virginia,54,2013,75.5429543921909,75.8482052682883,75.232116450024
44843,Wisconsin,55,2013,79.4637047144477,79.6729776534269,79.2550859786345
44916,Wyoming,56,2013,78.592023647141,78.9888038080737,78.207714474868
44941,Alabama,1,2014,75.5133866732357,75.7296673923081,75.302541417251
45009,Alaska,2,2014,78.7908880589955,79.1764495353961,78.4328799563619
45048,Arizona,4,2014,79.7245135458197,79.9350788014587,79.5243709023322
45064,Arkansas,5,2014,75.9972750450315,76.2484443471058,75.7291918464114
45140,California,6,2014,81.1890094044845,81.2731832172409,81.1031477095675
45199,Colorado,8,2014,80.0171117180062,80.2306043924019,79.8112345295582
45264,Connecticut,9,2014,81.1167486673152,81.3663641344201,80.8578443988776
45273,Delaware,10,2014,78.455184357101,78.7947479068876,78.1081999135123
45277,District of Columbia,11,2014,77.8898845869585,78.3737911835854,77.4233057814505
45279,Florida,12,2014,79.6029594276834,79.7187920803295,79.4844896729966
45348,Georgia,13,2014,77.5615406785667,77.7108334713069,77.4110240004779
45508,Hawaii,15,2014,81.4237620311336,81.7760665203992,81.0893889193833
45514,Idaho,16,2014,79.2319910000658,79.5453720797703,78.9087159722055
45559,Illinois,17,2014,79.1738928007592,79.3116277051248,79.0401220527126
45662,Indiana,18,2014,77.285147204366,77.4574847296282,77.1082140780819
45755,Iowa,19,2014,79.4462738104523,79.7143128865183,79.170481774959
45855,Kansas,20,2014,78.5416398574853,78.8181049971614,78.2534246887516
45961,Kentucky,21,2014,75.8371495729022,76.0480788299291,75.6222136711977
46082,Louisiana,22,2014,75.4527928849414,75.6540734295344,75.255151633201
46147,Maine,23,2014,79.0371379336231,79.3749477586523,78.6863198322473
46164,Maryland,24,2014,79.4229182291889,79.651677675681,79.2139464652829
46189,Massachusetts,25,2014,80.3391659987489,80.5295691533689,80.1421730307234
46204,Michigan,26,2014,77.9718416274406,78.1251436732309,77.8059195105862
46288,Minnesota,27,2014,80.7822354539305,80.9976496498646,80.5655594689573
46376,Mississippi,28,2014,74.778476214029,75.0295468098303,74.536454589714
46459,Missouri,29,2014,77.6036769405539,77.7906095769906,77.4173905365042
46575,Montana,30,2014,78.56121355945,78.9393449941641,78.1922333896196
46633,Nebraska,31,2014,79.4447384952119,79.7802537702828,79.137099070207
46727,Nevada,32,2014,78.5588351849152,78.8127492780471,78.2948378932606
46745,New Hampshire,33,2014,79.6863012272116,80.0614295805761,79.3103151314317
46756,New Jersey,34,2014,80.404953046383,80.5687285549518,80.2380778004581
46778,New Mexico,35,2014,78.1804117860251,78.4890031918888,77.8781210538714
