date,name,total,total_ytd,multi_total,multi_total_ytd,pop_2023,lat,lng,zori,total_per_capita,total_ytd_per_capita,multi_total_per_capita,multi_total_ytd_per_capita,zori_yoy
2021-12-01,"Las Vegas, NV",1211.0,16307.0,1216.0,16494.0,2336573,36.2333,-115.2654,1715.572952,0.5182804046781333,6.979024408824377,0.5204202907420398,7.059056147614476,0.2349288264262368
2021-12-01,"Los Angeles, CA",2474.0,30814.0,2538.0,31378.0,12799100,34.1141,-118.4068,2655.437164,0.19329484104351088,2.4075130282597996,0.19829519263073184,2.4515786266221844,0.13076172940112696
2021-12-01,"Philadelphia, PA",11888.0,37449.0,12061.0,38139.0,6246160,40.0077,-75.1339,1649.777552,1.903249356404575,5.995523649730394,1.9309463734518488,6.105991521190619,0.10693264318626206
2021-12-01,"Phoenix, AZ",4918.0,51923.0,4968.0,52335.0,5070110,33.5722,-112.0892,1778.263018,0.9699986785296572,10.241000688347984,0.9798603975061685,10.322261252714439,0.23620750494903797
2021-12-01,"Portland, OR",961.0,14957.0,971.0,15127.0,2508050,45.5371,-122.65,1693.451024,0.3831662048204781,5.963597216961384,0.3871533661609617,6.031378959749607,0.12274673958574978
2021-12-01,"Providence, RI",217.0,2321.0,220.0,2338.0,1677803,41.823,-71.4187,1733.454928,0.129335804024668,1.3833566872868865,0.13112385661487075,1.3934889852980357,0.11617458973714112
2021-12-01,"Pittsburgh, PA",241.0,2109.0,243.0,2137.0,2422725,40.4397,-79.9763,1216.018311,0.09947476498570824,0.8705073832151813,0.10030028170758133,0.8820646173214046,0.08062663549900839
2021-12-01,"New Orleans, LA",321.0,5246.0,322.0,5274.0,962165,30.0687,-89.9288,1481.012617,0.3336226115063425,5.452287289602095,0.3346619342836208,5.481388327365888,0.12208724514951674
2021-12-01,"Nashville, TN",3120.0,30469.0,3168.0,30726.0,2102573,36.1715,-86.7842,1726.492727,1.4838961596101539,14.491292335628774,1.506725331296464,14.613523525699227,0.1741757724868811
2021-12-01,"New York, NY",6145.0,58035.0,6291.0,59451.0,19498249,40.6943,-73.9249,2847.673582,0.3151565045661279,2.976421113506141,0.322644356424005,3.0490430191962368,0.1733388815000767
2021-12-01,"Oklahoma City, OK",649.0,8265.0,651.0,8276.0,1477926,35.4676,-97.5136,1207.771496,0.43912888737325145,5.592296231340406,0.44048213510013356,5.599739093838257,0.11531965412129508
2021-12-01,"Orlando, FL",1667.0,30533.0,1674.0,30813.0,2817933,28.4773,-81.337,1841.251771,0.5915683587934844,10.83524697003087,0.5940524490823593,10.934610581585865,0.2210351402401194
2022-01-01,"Grand Rapids, MI",224.0,224.0,228.0,228.0,1162950,42.9619,-85.6562,1365.30916,0.19261361193516488,0.19261361193516488,0.1960531407197214,0.1960531407197214,0.13292662461455151
2022-01-01,"Jacksonville, FL",2991.0,2991.0,3032.0,3032.0,1713240,30.3322,-81.6749,1604.263113,1.745814947117742,1.745814947117742,1.7697462118558986,1.7697462118558986,0.20884329811823688
2022-01-01,"Detroit, MI",423.0,423.0,431.0,431.0,4342304,42.3834,-83.1024,1301.138053,0.09741372322158928,0.09741372322158928,0.0992560631406737,0.0992560631406737,0.12019623166763393
2022-01-01,"Kansas City, MO",1433.0,1433.0,1450.0,1450.0,2221343,39.1238,-94.5541,1237.674568,0.6451052358865785,0.6451052358865785,0.6527582638070752,0.6527582638070752,0.10676643049831713
2022-01-01,"Hartford, CT",65.0,65.0,68.0,68.0,1151543,41.7661,-72.6834,1567.40454,0.056446003319024995,0.056446003319024995,0.05905120347221076,0.05905120347221076,0.11569163102670754
2022-01-01,"Houston, TX",5917.0,5917.0,5957.0,5957.0,7510253,29.786,-95.3885,1563.447498,0.7878562812730809,0.7878562812730809,0.7931823335378981,0.7931823335378981,0.11362570422247553
2022-01-01,"Indianapolis, IN",1505.0,1505.0,1529.0,1529.0,2138468,39.7771,-86.1458,1320.454736,0.7037748519033252,0.7037748519033252,0.7149978395748733,0.7149978395748733,0.1179817784584265
2022-01-01,"Boston, MA",903.0,903.0,953.0,953.0,4919179,42.3188,-71.0852,2511.071379,0.18356721721246574,0.18356721721246574,0.19373151495401977,0.19373151495401977,0.13381485257430636
2022-01-01,"Birmingham, AL",270.0,270.0,270.0,270.0,1184290,33.5279,-86.7971,1266.896043,0.22798469969348722,0.22798469969348722,0.22798469969348722,0.22798469969348722,0.10351843103825509
2022-01-01,"Baltimore, MD",772.0,772.0,776.0,776.0,2834316,39.3051,-76.6144,1709.316587,0.27237612178740833,0.27237612178740833,0.2737873970298301,0.2737873970298301,0.11850292637389614
2022-01-01,"Austin, TX",3935.0,3935.0,3983.0,3983.0,2473275,30.3005,-97.7522,1750.362351,1.5910078741749298,1.5910078741749298,1.6104153399844336,1.6104153399844336,0.21252253304497692
2022-01-01,"Atlanta, GA",2836.0,2836.0,2860.0,2860.0,6307261,33.7628,-84.422,1771.223125,0.44964050163771563,0.44964050163771563,0.4534456398744241,0.4534456398744241,0.19024680219359835
2022-01-01,"Columbus, OH",1027.0,1027.0,1054.0,1054.0,2180271,39.9862,-82.9855,1350.447401,0.4710423612477531,0.4710423612477531,0.4834261428969151,0.4834261428969151,0.10546401228020663
2022-01-01,"Cleveland, OH",185.0,185.0,186.0,186.0,2063132,41.4764,-81.6805,1176.785607,0.08966949279057278,0.08966949279057278,0.0901541927516029,0.0901541927516029,0.09576246488114237
2022-01-01,"Dallas, TX",6861.0,6861.0,6923.0,6923.0,8100037,32.7935,-96.7667,1658.88058,0.8470331678731837,0.8470331678731837,0.8546874538968156,0.8546874538968156,0.17122544130314732
2022-01-01,"Cincinnati, OH",528.0,528.0,532.0,532.0,2271479,39.1413,-84.506,1266.739692,0.23244766955802804,0.23244766955802804,0.23420863675164946,0.23420863675164946,0.10416829848974918
2022-01-01,"Buffalo, NY",92.0,92.0,94.0,94.0,1155604,42.9018,-78.8487,1140.293755,0.07961204703341283,0.07961204703341283,0.08134274370805224,0.08134274370805224,0.11662824746255951
2022-01-01,"Charlotte, NC",3225.0,3225.0,3252.0,3252.0,2805115,35.2083,-80.8303,1612.785765,1.14968548526531,1.14968548526531,1.1593107590954381,1.1593107590954381,0.16639953196069968
2022-01-01,"Chicago, IL",994.0,994.0,1011.0,1011.0,9262825,41.8375,-87.6866,1714.825296,0.10731067465918874,0.10731067465918874,0.10914596788776643,0.10914596788776643,0.10611486385890023
2022-01-01,"Denver, CO",1555.0,1555.0,1569.0,1569.0,3005131,39.762,-104.8758,1833.687762,0.517448324216149,0.517448324216149,0.5221070229550725,0.5221070229550725,0.13934583112569499
2022-01-01,"Seattle, WA",1904.0,1904.0,1945.0,1945.0,4044837,47.6211,-122.3244,2020.880299,0.47072354213531964,0.47072354213531964,0.4808599209313008,0.4808599209313008,0.15570398059006862
2022-01-01,"St. Louis, MO",978.0,978.0,989.0,989.0,2796999,38.6359,-90.2451,1188.81962,0.3496604753880856,0.3496604753880856,0.35359326192108037,0.35359326192108037,0.09992456879178846
2022-01-01,"Riverside, CA",1048.0,1048.0,1056.0,1056.0,4688053,33.9381,-117.3949,2294.341813,0.22354696075321673,0.22354696075321673,0.22525342610247795,0.22525342610247795,0.1732959464021464
2022-01-01,"Rochester, NY",188.0,188.0,196.0,196.0,1052087,43.168,-77.6162,1217.514726,0.17869244653721603,0.17869244653721603,0.1862963804324167,0.1862963804324167,0.08756070039437613
2022-01-01,"Sacramento, CA",729.0,729.0,732.0,732.0,2420608,38.5677,-121.4685,2114.774147,0.30116400507641056,0.30116400507641056,0.3024033631219925,0.3024033631219925,0.12586101856920484
2022-01-01,"Salt Lake City, UT",1161.0,1161.0,1173.0,1173.0,1267864,40.7776,-111.9311,1537.262645,0.9157133572686029,0.9157133572686029,0.9251780948114309,0.9251780948114309,0.1896669315670112
2022-01-01,"San Antonio, TX",2619.0,2619.0,2662.0,2662.0,2703999,29.4632,-98.5238,1415.23939,0.9685654469546772,0.9685654469546772,0.9844678196996375,0.9844678196996375,0.13578397672859444
2022-01-01,"San Diego, CA",759.0,759.0,771.0,771.0,3269973,32.8313,-117.1222,2645.220456,0.23211200826428843,0.23211200826428843,0.23578176333566056,0.23578176333566056,0.17386216598931648
2022-01-01,"San Francisco, CA",1087.0,1087.0,1104.0,1104.0,4566961,37.7558,-122.4449,2878.095388,0.2380138564791773,0.2380138564791773,0.24173624429899881,0.24173624429899881,0.0951749242326172
2022-01-01,"San Jose, CA",253.0,253.0,257.0,257.0,1945767,37.3012,-121.848,3043.894523,0.1300258458489634,0.1300258458489634,0.132081590447366,0.132081590447366,0.08593708808537892
2022-01-01,"Washington, DC",2378.0,2378.0,2397.0,2397.0,6304975,38.9047,-77.0163,2107.227046,0.37716247883615717,0.37716247883615717,0.3801759721489776,0.3801759721489776,0.10778744702741005
2022-01-01,"Virginia Beach, VA",333.0,333.0,335.0,335.0,1787169,36.7335,-76.0435,1522.102414,0.18632820958734175,0.18632820958734175,0.1874472979332117,0.1874472979332117,0.14487822370637393
2022-01-01,"Tampa, FL",1546.0,1546.0,1558.0,1558.0,3342963,27.9945,-82.4447,1868.01867,0.4624639877856859,0.4624639877856859,0.4660536177038155,0.4660536177038155,0.2626871618266242
2022-01-01,"Tucson, AZ",559.0,559.0,563.0,563.0,1063162,32.1541,-110.8787,1456.505979,0.525790048929514,0.525790048929514,0.5295524106392064,0.5295524106392064,0.19658060663691423
2022-01-01,"Urban Honolulu, HI",145.0,145.0,153.0,153.0,989408,,,2391.269321,0.14655228176849186,0.14655228176849186,0.1546379249005466,0.1546379249005466,0.09552772672555476
