name,pop_2023,most_recent_heat,most_recent_zori,most_recent_date,heat_1yc,zori_1yc,heat_2yc,zori_2yc,heat_3yc,zori_3yc,heat_4yc,zori_4yc,heat_5yc,zori_5yc
"San Jose, CA",1945767,84.0,3430.921183,2024-09-30,-3.4482758620689653,3.7580027133422615,37.704918032786885,3.7637373921750914,-13.402061855670103,12.697239226109438,-16.831683168316832,17.621583458639137,58.490566037735846,11.834463713403101
"Virginia Beach, VA",1787169,57.0,1786.771187,2024-09-30,-12.307692307692308,5.7678208185138296,-12.307692307692308,10.245042191003888,-21.91780821917808,18.02298937182606,-22.972972972972975,37.12903013737623,5.555555555555555,44.20877404719782
"Jacksonville, FL",1713240,40.0,1743.854507,2024-09-30,-11.11111111111111,1.0373437907010412,-13.043478260869565,2.5412090303320793,-38.46153846153847,12.175009835864238,-34.42622950819672,34.30400980476424,-16.666666666666664,40.23621783126811
"Providence, RI",1677803,72.0,2162.463552,2024-09-30,-7.6923076923076925,5.779776385453758,4.3478260869565215,13.69982120108637,-4.0,25.550254572222116,-12.195121951219512,41.89922891551785,28.57142857142857,50.36861277239495
"Milwaukee, WI",1560424,51.0,1364.870024,2024-09-30,-5.555555555555555,4.40912209694106,13.333333333333334,9.940379582986294,10.869565217391305,18.9190512411777,-36.25,27.30545970329292,15.909090909090908,30.682623511294256
"Raleigh, NC",1509231,54.0,1783.161451,2024-09-30,-20.588235294117645,0.08084363181649497,-3.571428571428571,1.010123811236187,-40.65934065934066,12.147139238873796,-30.76923076923077,29.504917235959,-3.571428571428571,32.964728848152575
"Oklahoma City, OK",1477926,49.0,1375.918914,2024-09-30,-9.25925925925926,3.7245002006339365,-10.909090909090908,6.854662918688314,-26.865671641791046,14.589460472648724,-20.967741935483872,28.384612632954532,-7.547169811320755,33.178233172566756
"Louisville, KY",1365557,49.0,1377.850266,2024-09-30,-15.517241379310345,6.40767593973723,-10.909090909090908,11.046369773216382,-22.22222222222222,23.083017743316926,-30.985915492957744,31.68748567504026,16.666666666666664,37.98597781486461
"Richmond, VA",1349732,66.0,1663.514686,2024-09-30,-13.157894736842104,6.059544552955409,-8.333333333333332,8.25730803492599,-16.455696202531644,20.7374091886239,-17.5,35.150473840161965,13.793103448275861,41.16051047426009
"Memphis, TN",1335674,41.0,1502.879903,2024-09-30,-10.869565217391305,4.283244776923376,-24.074074074074073,6.519796958715582,-38.80597014925373,14.034683014313895,-54.44444444444444,30.46885053301288,-32.78688524590164,41.68483431212458
"Salt Lake City, UT",1267864,57.0,1693.9381,2024-09-30,3.6363636363636362,2.377401641238022,16.3265306122449,2.5903093160465485,-24.0,13.982107800824666,-30.48780487804878,31.762081697800067,-3.389830508474576,35.00398297024627
"Birmingham, AL",1184290,48.0,1441.167463,2024-09-30,-11.11111111111111,3.7509643875982186,-14.285714285714285,8.307798922720105,-28.35820895522388,16.19250842740425,-27.27272727272727,27.342459575201243,-2.0408163265306123,32.57072649946638
"Grand Rapids, MI",1162950,56.0,1619.685263,2024-09-30,-18.84057971014493,4.946505897402916,-11.11111111111111,9.611021587372825,-30.864197530864196,20.04470498966936,-36.36363636363637,35.46817951978596,1.8181818181818181,41.644520615031574
"Buffalo, NY",1155604,84.0,1357.615617,2024-09-30,-6.666666666666667,5.449779024863618,7.6923076923076925,11.550107215337908,-27.586206896551722,21.752978701998043,-33.33333333333333,33.72067042687243,31.25,41.971292503411725
"Hartford, CT",1151543,83.0,1920.139081,2024-09-30,-14.432989690721648,7.470061362236291,0.0,15.686788792006414,3.75,25.110164372755623,9.210526315789473,39.105499354544705,62.745098039215684,44.966695400658764
"Tucson, AZ",1063162,50.0,1621.090639,2024-09-30,-16.666666666666664,2.158534257058934,-1.9607843137254901,5.843864065871102,-27.536231884057973,15.599646801712364,-29.577464788732392,37.45881979707754,-16.666666666666664,47.48670794866904
"Rochester, NY",1052087,137.0,1456.431005,2024-09-30,-3.5211267605633805,4.043998693139755,24.545454545454547,9.843731484321864,15.126050420168067,19.84416204746609,11.38211382113821,32.67551180217701,158.49056603773585,38.649391565225244
"Urban Honolulu, HI",989408,37.0,2693.099648,2024-09-30,-26.0,4.651560806888052,-28.846153846153843,8.328398499689568,-54.87804878048781,13.463316804154212,-37.28813559322034,25.14325738041042,-36.206896551724135,24.58734354266058
"New Orleans, LA",962165,35.0,1635.125963,2024-09-30,-7.894736842105263,3.354400040148219,-14.634146341463413,5.671541606765315,-33.9622641509434,14.62272794534866,-43.54838709677419,25.000455375597593,-23.91304347826087,28.993795586884417
