date,name,total,total_ytd,multi_total,multi_total_ytd,rt,multi_rt,zori,lat,lng,pop_2023,total_pc,total_ytd_pc,multi_total_pc,multi_total_ytd_pc,rt_pc,multi_rt_pc,zori_yoy,state,region,running_total,zori_index,running_total_per_10k
2020-09-01,"Jacksonville, FL",1217.0,11289.0,8.0,1987.0,13120.0,2150.0,1255.6104009594803,30.3322,-81.6749,1713240.0,0.7103499801545609,6.589269454367164,0.0046695150708598,1.1597908057248256,7.658004716210222,1.2549321752935956,,FL,Southeast,1830.0,103.52861262150486,10.681515724592002
2020-10-01,"Jacksonville, FL",2143.0,13448.0,870.0,2857.0,15263.0,3020.0,1264.2701971815468,30.3322,-81.6749,1713240.0,1.2508463496065934,7.849454834115477,0.5078097639560132,1.6676005696808387,8.908851065816814,1.7627419392496089,,FL,Southeast,2700.0,104.24263720092088,15.759613364152132
2020-11-01,"Jacksonville, FL",1119.0,14567.0,4.0,2861.0,15371.0,2729.0,1272.210111681719,30.3322,-81.6749,1713240.0,0.6531484205365272,8.502603254652003,0.0023347575354299,1.6699353272162687,8.971889519273423,1.5928883285470803,0.0512115378790249,FL,Southeast,2704.0,104.89730550560206,15.782960939506431
2020-12-01,"Jacksonville, FL",1792.0,16361.0,523.0,3380.0,16352.0,3227.0,1276.8153233382925,30.3322,-81.6749,1713240.0,1.0459713758726157,9.549742009292334,0.3052695477574654,1.972870117438304,9.544488804837616,1.8835656417081088,0.0559692999674883,FL,Southeast,3227.0,105.27701817226134,18.835656417081086
2021-01-01,"Jacksonville, FL",1717.0,1717.0,450.0,450.0,17065.0,3656.0,1283.035354449727,30.3322,-81.6749,1713240.0,1.002194672083304,1.002194672083304,0.2626602227358688,0.2626602227358688,9.960659335528003,2.1339683873829705,0.0578987724935828,FL,Southeast,3677.0,105.78987724935828,21.462258644439775
2021-02-01,"Jacksonville, FL",1808.0,3529.0,583.0,1035.0,17727.0,3948.0,1292.689817049338,30.3322,-81.6749,1713240.0,1.0553104060143357,2.0598398356330696,0.3402909107889146,0.6041185122924985,10.34706170764166,2.3044056874693566,0.0621945627763809,FL,Southeast,4260.0,106.58591487199996,24.86516775232892
2021-03-01,"Jacksonville, FL",2647.0,6186.0,1271.0,2306.0,18944.0,4737.0,1301.9190494263185,30.3322,-81.6749,1713240.0,1.5450257990707663,3.6107025285424106,0.7418692068828653,1.3459877191753638,11.057411687796222,2.764936611332913,0.0649746786130769,FL,Southeast,5531.0,107.34689106558683,32.28385982115758
2021-04-01,"Jacksonville, FL",2394.0,8580.0,981.0,3287.0,20123.0,5495.0,1320.115316903088,30.3322,-81.6749,1713240.0,1.3973523849548224,5.008054913497233,0.5725992855641941,1.9185870047395577,11.7455814713642,3.207373164296888,0.0731938907612892,FL,Southeast,6512.0,108.84722454906246,38.00985267679951
2021-05-01,"Jacksonville, FL",1323.0,9913.0,11.0,3298.0,20270.0,5193.0,1342.3250088977527,30.3322,-81.6749,1713240.0,0.7722210548434546,5.786112862179262,0.0064205832224323,1.92500758796199,11.83138381079125,3.031098970371927,0.0898386182684893,FL,Southeast,6523.0,110.67847618348787,38.07405850902384
2021-06-01,"Jacksonville, FL",2011.0,11925.0,205.0,3500.0,20864.0,5030.0,1373.8197554864407,30.3322,-81.6749,1713240.0,1.1737993509374052,6.960495902500526,0.1196563236907847,2.0429128435012025,12.178095304802596,2.9359576008031567,0.1131817662025191,FL,Southeast,6728.0,113.27530671045798,39.270621745931685
2021-07-01,"Jacksonville, FL",1651.0,13629.0,302.0,3773.0,21095.0,5224.0,1409.6923700991158,30.3322,-81.6749,1713240.0,0.96367117274871,7.955102612593683,0.1762741939249608,2.202260045294296,12.312927552473676,3.0491933412715087,0.1428480158622367,FL,Southeast,7030.0,116.23310478151427,41.03336368518129
2021-08-01,"Jacksonville, FL",2605.0,16226.0,1206.0,4954.0,22427.0,6414.0,1447.3643599853517,30.3322,-81.6749,1713240.0,1.520510844948752,9.470943942471571,0.7039293969321286,2.8915972076299874,13.090401811771848,3.7437837080619176,0.1638365689541341,FL,Southeast,8236.0,119.33926640986097,48.07265765450258
2021-09-01,"Jacksonville, FL",1561.0,17811.0,244.0,5223.0,22771.0,6650.0,1485.0559115552016,30.3322,-81.6749,1713240.0,0.9111391282015362,10.396091615885693,0.1424202096612266,3.0486096518876518,13.291190959818824,3.8815344026522847,0.182736229661995,FL,Southeast,8480.0,122.44704095409588,49.49685975111484
2021-10-01,"Jacksonville, FL",2059.0,19871.0,995.0,6218.0,22687.0,6775.0,1512.257452299371,30.3322,-81.6749,1713240.0,1.2018164413625645,11.598491746632114,0.580770936938199,3.62938058882585,13.242161051574794,3.9544955756344704,0.1961505188294916,FL,Southeast,9475.0,124.68988457203598,55.304569120496836
2021-11-01,"Jacksonville, FL",1203.0,21074.0,62.0,6280.0,22771.0,6833.0,1532.573803001648,30.3322,-81.6749,1713240.0,0.7021783287805562,12.300670075412668,0.0361887417991641,3.665569330625015,13.291190959818824,3.9883495598982046,0.2046546312823733,FL,Southeast,9537.0,126.36502488636552,55.666456538488475
2021-12-01,"Jacksonville, FL",1611.0,22725.0,82.0,6362.0,22590.0,6392.0,1543.5243965339027,30.3322,-81.6749,1713240.0,0.9403235973944106,13.26434124816138,0.0478625294763138,3.713431860101328,13.185543181340616,3.730942541617053,0.2088861782284121,FL,Southeast,9619.0,127.2679321535481,56.145081833251616
2022-01-01,"Jacksonville, FL",2991.0,2991.0,1660.0,1660.0,23864.0,7602.0,1554.8635367253464,30.3322,-81.6749,1713240.0,1.745814947117742,1.745814947117742,0.9689243772034276,0.9689243772034276,13.929163456375056,4.437206696084612,0.2118633608441773,FL,Southeast,11279.0,128.2028761867003,65.83432560528588
2022-02-01,"Jacksonville, FL",2168.0,5199.0,785.0,2421.0,24224.0,7804.0,1560.726069926066,30.3322,-81.6749,1713240.0,1.265438584203031,3.034601106675072,0.4581961663281268,1.4131119983189746,14.139291634563753,4.555111951623823,0.2073476941966952,FL,Southeast,12064.0,128.68625855455437,70.41628726856716
2022-03-01,"Jacksonville, FL",2087.0,7286.0,583.0,3004.0,23664.0,7116.0,1574.4830533305592,30.3322,-81.6749,1713240.0,1.218159744110574,4.252760850785647,0.3402909107889146,1.753402909107889,13.812425579603556,4.153533655529873,0.2093555693991451,FL,Southeast,12647.0,129.82056056785078,73.8191963764563
