name,date,zori,lat,lng,pop_2023
"Portland, OR",2015-05-01,1180.3944439990537,45.5371,-122.65,2508050.0
"Sacramento, CA",2015-05-01,1279.994139277877,38.5677,-121.4685,2420608.0
"Pittsburgh, PA",2015-05-01,992.6171292273178,40.4397,-79.9763,2422725.0
"Cincinnati, OH",2015-05-01,894.4157865958706,39.1413,-84.506,2271479.0
"Austin, TX",2015-05-01,1206.7056990800916,30.3005,-97.7522,2473275.0
"Las Vegas, NV",2015-05-01,1001.933028918708,36.2333,-115.2654,2336573.0
"Kansas City, MO",2015-05-01,897.6261921380982,39.1238,-94.5541,2221343.0
"Columbus, OH",2015-05-01,877.0742960835065,39.9862,-82.9855,2180271.0
"Indianapolis, IN",2015-05-01,927.0948970980468,39.7771,-86.1458,2138468.0
"Cleveland, OH",2015-05-01,854.9084858797188,41.4764,-81.6805,2063132.0
"San Jose, CA",2015-05-01,2508.8139531337392,37.3012,-121.848,1945767.0
"Nashville, TN",2015-05-01,1175.6406681926371,36.1715,-86.7842,2102573.0
"Virginia Beach, VA",2015-05-01,1091.8625721143617,36.7335,-76.0435,1787169.0
"Providence, RI",2015-05-01,1082.7060374876116,41.823,-71.4187,1677803.0
"Jacksonville, FL",2015-05-01,1022.9241521909956,30.3322,-81.6749,1713240.0
"Milwaukee, WI",2015-05-01,958.4721327431972,43.0642,-87.9675,1560424.0
"Oklahoma City, OK",2015-05-01,932.7201449354504,35.4676,-97.5136,1477926.0
"Raleigh, NC",2015-05-01,1105.9294225072802,35.8324,-78.6429,1509231.0
"Memphis, TN",2015-05-01,885.8551730094317,35.1087,-89.9663,1335674.0
"Richmond, VA",2015-05-01,986.4452265366928,37.5295,-77.4756,1349732.0
"Louisville, KY",2015-05-01,855.2769735671149,38.1663,-85.6485,1365557.0
"Salt Lake City, UT",2015-05-01,990.3845925354356,40.7776,-111.9311,1267864.0
"Hartford, CT",2015-05-01,1138.4244077657838,41.7661,-72.6834,1151543.0
"Buffalo, NY",2015-05-01,794.8849397663124,42.9018,-78.8487,1155604.0
"Birmingham, AL",2015-05-01,916.9794340288644,33.5279,-86.7971,1184290.0
"Grand Rapids, MI",2015-05-01,866.5099600557519,42.9619,-85.6562,1162950.0
"New York, NY",2015-06-01,2300.8265213709756,40.6943,-73.9249,19498249.0
"Los Angeles, CA",2015-06-01,1866.8509309149872,34.1141,-118.4068,12799100.0
"Chicago, IL",2015-06-01,1436.2362525994793,41.8375,-87.6866,9262825.0
"Dallas, TX",2015-06-01,1130.0178845479054,32.7935,-96.7667,8100037.0
"Houston, TX",2015-06-01,1247.4478542006177,29.786,-95.3885,7510253.0
"Washington, DC",2015-06-01,1726.3303810865812,38.9047,-77.0163,6304975.0
"Philadelphia, PA",2015-06-01,1261.9418334251973,40.0077,-75.1339,6246160.0
"Miami, FL",2015-06-01,1496.827521401717,25.784,-80.2101,6183199.0
"Atlanta, GA",2015-06-01,1054.026154729842,33.7628,-84.422,6307261.0
"Boston, MA",2015-06-01,2123.6575673510556,42.3188,-71.0852,4919179.0
"Phoenix, AZ",2015-06-01,970.928447390522,33.5722,-112.0892,5070110.0
"San Francisco, CA",2015-06-01,2365.621852117607,37.7558,-122.4449,4566961.0
"Riverside, CA",2015-06-01,1354.9848460999794,33.9381,-117.3949,4688053.0
"Detroit, MI",2015-06-01,881.9544120893015,42.3834,-83.1024,4342304.0
"Seattle, WA",2015-06-01,1414.8271405939438,47.6211,-122.3244,4044837.0
"Minneapolis, MN",2015-06-01,1161.89817725076,44.9635,-93.2678,3712020.0
"San Diego, CA",2015-06-01,1714.582744280574,32.8313,-117.1222,3269973.0
"Tampa, FL",2015-06-01,1095.0158425597522,27.9945,-82.4447,3342963.0
"Denver, CO",2015-06-01,1314.4853708052065,39.762,-104.8758,3005131.0
"Baltimore, MD",2015-06-01,1321.0987661640647,39.3051,-76.6144,2834316.0
"St. Louis, MO",2015-06-01,883.772206482454,38.6359,-90.2451,2796999.0
"Orlando, FL",2015-06-01,1157.5468339474176,28.4773,-81.337,2817933.0
"Charlotte, NC",2015-06-01,1053.5304249074677,35.2083,-80.8303,2805115.0
"San Antonio, TX",2015-06-01,1047.6105741009271,29.4632,-98.5238,2703999.0
"Portland, OR",2015-06-01,1198.5481544427437,45.5371,-122.65,2508050.0
"Sacramento, CA",2015-06-01,1292.0018982597787,38.5677,-121.4685,2420608.0
"Pittsburgh, PA",2015-06-01,1000.4825517339063,40.4397,-79.9763,2422725.0
"Cincinnati, OH",2015-06-01,899.3934573820262,39.1413,-84.506,2271479.0
"Austin, TX",2015-06-01,1218.6909805530645,30.3005,-97.7522,2473275.0
"Las Vegas, NV",2015-06-01,1009.1158992259276,36.2333,-115.2654,2336573.0
"Kansas City, MO",2015-06-01,903.249130943112,39.1238,-94.5541,2221343.0
"Columbus, OH",2015-06-01,887.7589465494515,39.9862,-82.9855,2180271.0
"Indianapolis, IN",2015-06-01,932.9012013935318,39.7771,-86.1458,2138468.0
"Cleveland, OH",2015-06-01,856.8382387198412,41.4764,-81.6805,2063132.0
"San Jose, CA",2015-06-01,2565.5093686027417,37.3012,-121.848,1945767.0
"Nashville, TN",2015-06-01,1189.9688181407794,36.1715,-86.7842,2102573.0
"Virginia Beach, VA",2015-06-01,1097.5600267238017,36.7335,-76.0435,1787169.0
"Providence, RI",2015-06-01,1089.006332430517,41.823,-71.4187,1677803.0
"Jacksonville, FL",2015-06-01,1030.2396860793897,30.3322,-81.6749,1713240.0
"Milwaukee, WI",2015-06-01,967.5612342531388,43.0642,-87.9675,1560424.0
"Oklahoma City, OK",2015-06-01,939.7048616463826,35.4676,-97.5136,1477926.0
"Raleigh, NC",2015-06-01,1117.8652280190113,35.8324,-78.6429,1509231.0
"Memphis, TN",2015-06-01,884.1415411614763,35.1087,-89.9663,1335674.0
"Richmond, VA",2015-06-01,987.7637857573538,37.5295,-77.4756,1349732.0
"Louisville, KY",2015-06-01,848.9790469485332,38.1663,-85.6485,1365557.0
"Salt Lake City, UT",2015-06-01,1001.0343036457942,40.7776,-111.9311,1267864.0
"Hartford, CT",2015-06-01,1148.84733884969,41.7661,-72.6834,1151543.0
"Buffalo, NY",2015-06-01,804.0523072572724,42.9018,-78.8487,1155604.0
"Birmingham, AL",2015-06-01,915.2420053124875,33.5279,-86.7971,1184290.0
"Grand Rapids, MI",2015-06-01,884.4121956134064,42.9619,-85.6562,1162950.0
"New York, NY",2015-07-01,2316.3079685707507,40.6943,-73.9249,19498249.0
"Los Angeles, CA",2015-07-01,1878.3850304213183,34.1141,-118.4068,12799100.0
"Chicago, IL",2015-07-01,1445.9302941663384,41.8375,-87.6866,9262825.0
"Dallas, TX",2015-07-01,1138.4268284421494,32.7935,-96.7667,8100037.0
"Houston, TX",2015-07-01,1255.6502685508356,29.786,-95.3885,7510253.0
"Washington, DC",2015-07-01,1733.208735212679,38.9047,-77.0163,6304975.0
"Philadelphia, PA",2015-07-01,1265.0473443693795,40.0077,-75.1339,6246160.0
"Miami, FL",2015-07-01,1505.7391334738836,25.784,-80.2101,6183199.0
"Atlanta, GA",2015-07-01,1065.5655965241372,33.7628,-84.422,6307261.0
"Boston, MA",2015-07-01,2136.928846234904,42.3188,-71.0852,4919179.0
"Phoenix, AZ",2015-07-01,978.8167222549258,33.5722,-112.0892,5070110.0
"San Francisco, CA",2015-07-01,2398.528282594052,37.7558,-122.4449,4566961.0
"Riverside, CA",2015-07-01,1364.4741244163897,33.9381,-117.3949,4688053.0
"Detroit, MI",2015-07-01,886.8094220153864,42.3834,-83.1024,4342304.0
"Seattle, WA",2015-07-01,1428.2888529171166,47.6211,-122.3244,4044837.0
"Minneapolis, MN",2015-07-01,1168.5537450282063,44.9635,-93.2678,3712020.0
"San Diego, CA",2015-07-01,1722.7768044846591,32.8313,-117.1222,3269973.0
"Tampa, FL",2015-07-01,1102.7898382235685,27.9945,-82.4447,3342963.0
"Denver, CO",2015-07-01,1329.713255324365,39.762,-104.8758,3005131.0
"Baltimore, MD",2015-07-01,1325.1164345408165,39.3051,-76.6144,2834316.0
"St. Louis, MO",2015-07-01,886.9053575473603,38.6359,-90.2451,2796999.0
