name,date,zori,lat,lng,pop_2023,state,region,zori_index
"Salt Lake City, UT",2015-05-01,978.6696987373048,40.7776,-111.9311,1267864.0,UT,West,79.7568452612105
"Hartford, CT",2015-05-01,1160.1612644830514,41.7661,-72.6834,1151543.0,CT,Northest,89.95480127234957
"Buffalo, NY",2015-05-01,802.2266635236796,42.9018,-78.8487,1155604.0,NY,Northest,84.32967786987355
"Birmingham, AL",2015-05-01,904.5057313499163,33.5279,-86.7971,1184290.0,AL,Southeast,88.6876023404209
"Grand Rapids, MI",2015-05-01,904.2772231035012,42.9619,-85.6562,1162950.0,MI,Midwest,76.17091555628726
"New York, NY",2015-06-01,2323.4747760409723,40.6943,-73.9249,19498249.0,NY,Northest,90.89669431213564
"Los Angeles, CA",2015-06-01,1870.236247736312,34.1141,-118.4068,12799100.0,CA,West,80.09295500667415
"Chicago, IL",2015-06-01,1391.8531114466762,41.8375,-87.6866,9262825.0,IL,Midwest,90.51014330190958
"Dallas, TX",2015-06-01,1124.987490633271,32.7935,-96.7667,8100037.0,TX,Southwest,83.68982098355153
"Houston, TX",2015-06-01,1259.455374253309,29.786,-95.3885,7510253.0,TX,Southwest,92.09239998524752
"Washington, DC",2015-06-01,1747.4856511090804,38.9047,-77.0163,6304975.0,DC,Northest,90.9840329746331
"Philadelphia, PA",2015-06-01,1258.1962198090882,40.0077,-75.1339,6246160.0,PA,Northest,87.71404334147931
"Miami, FL",2015-06-01,1518.0737688488052,25.784,-80.2101,6183199.0,FL,Southeast,85.88872129615089
"Atlanta, GA",2015-06-01,1062.732597536008,33.7628,-84.422,6307261.0,GA,Southeast,77.3811319017396
"Boston, MA",2015-06-01,2041.8244064446296,42.3188,-71.0852,4919179.0,MA,Northest,87.57680599850855
"Phoenix, AZ",2015-06-01,973.6188075388476,33.5722,-112.0892,5070110.0,AZ,Southwest,74.68847298135827
"San Francisco, CA",2015-06-01,2378.703467851913,37.7558,-122.4449,4566961.0,CA,West,84.40657507474094
"Riverside, CA",2015-06-01,1362.076946322842,33.9381,-117.3949,4688053.0,CA,West,77.96618623879863
"Detroit, MI",2015-06-01,888.9634553907221,42.3834,-83.1024,4342304.0,MI,Midwest,83.71698646555986
"Seattle, WA",2015-06-01,1406.5689205702288,47.6211,-122.3244,4044837.0,WA,West,78.59871894935699
"Minneapolis, MN",2015-06-01,1179.3159465785554,44.9635,-93.2678,3712020.0,MN,Midwest,83.23448917006175
"San Diego, CA",2015-06-01,1714.148697874463,32.8313,-117.1222,3269973.0,CA,West,79.75884388185484
"Tampa, FL",2015-06-01,1079.315696883472,27.9945,-82.4447,3342963.0,FL,Southeast,80.17851919094821
"Denver, CO",2015-06-01,1325.32260160921,39.762,-104.8758,3005131.0,CO,West,83.92164006611804
"Baltimore, MD",2015-06-01,1349.9986300945195,39.3051,-76.6144,2834316.0,MD,Northest,93.00491414576663
"St. Louis, MO",2015-06-01,880.4512079627557,38.6359,-90.2451,2796999.0,MO,Midwest,88.77205543992376
"Orlando, FL",2015-06-01,1160.3316038548126,28.4773,-81.337,2817933.0,FL,Southeast,79.91465493858095
"Charlotte, NC",2015-06-01,1058.5843320742324,35.2083,-80.8303,2805115.0,NC,Southeast,81.3052757676788
"San Antonio, TX",2015-06-01,1049.5409437527182,29.4632,-98.5238,2703999.0,TX,Southwest,87.68676981433484
"Portland, OR",2015-06-01,1206.325899062109,45.5371,-122.65,2508050.0,OR,West,81.9097658211462
"Sacramento, CA",2015-06-01,1284.385643671215,38.5677,-121.4685,2420608.0,CA,West,74.52925371655846
"Pittsburgh, PA",2015-06-01,1006.915754473818,40.4397,-79.9763,2422725.0,PA,Northest,88.93148876211824
"Cincinnati, OH",2015-06-01,890.2716261485,39.1413,-84.506,2271479.0,OH,Midwest,81.92383178428254
"Austin, TX",2015-06-01,1231.8967636886234,30.3005,-97.7522,2473275.0,TX,Southwest,86.46757242190336
"Las Vegas, NV",2015-06-01,1017.9181977647638,36.2333,-115.2654,2336573.0,NV,West,78.48019302381215
"Kansas City, MO",2015-06-01,882.2139357960008,39.1238,-94.5541,2221343.0,MO,Midwest,84.99048311369415
"Columbus, OH",2015-06-01,891.6480430079139,39.9862,-82.9855,2180271.0,OH,Midwest,81.70156850278195
"Indianapolis, IN",2015-06-01,929.4088786560222,39.7771,-86.1458,2138468.0,IN,Midwest,87.03665385811738
"Cleveland, OH",2015-06-01,844.4604243621728,41.4764,-81.6805,2063132.0,OH,Midwest,87.7292533794342
"San Jose, CA",2015-06-01,2586.60924343182,37.3012,-121.848,1945767.0,CA,West,87.36709358813225
"Nashville, TN",2015-06-01,1199.4642470400752,36.1715,-86.7842,2102573.0,TN,Southeast,84.06810186822383
"Virginia Beach, VA",2015-06-01,1115.4110116407965,36.7335,-76.0435,1787169.0,VA,Southeast,90.04218939901335
"Providence, RI",2015-06-01,1131.084943504873,41.823,-71.4187,1677803.0,RI,Northest,81.34051332704573
"Jacksonville, FL",2015-06-01,1018.4570389539264,30.3322,-81.6749,1713240.0,FL,Southeast,83.2306081664127
"Milwaukee, WI",2015-06-01,915.0644462971852,43.0642,-87.9675,1560424.0,WI,Midwest,89.68713010897983
"Oklahoma City, OK",2015-06-01,949.444258205373,35.4676,-97.5136,1477926.0,OK,Southwest,92.13308503698816
"Raleigh, NC",2015-06-01,1131.1844587602843,35.8324,-78.6429,1509231.0,NC,Southeast,85.58527237289658
"Memphis, TN",2015-06-01,908.4811039446512,35.1087,-89.9663,1335674.0,TN,Southeast,88.53561410954583
